Vehicle, Market, Research, Sub-Company, Format, SubTotals, Sales Source, Sales Office, Salesperson, Agency, Advertiser, Product, Order Type, Cash/Trade, AirTime/NTR, Primary Competitive Code, Secondary Competitive Code, Year, Month, Gross Direct, Gross Split, Net Split
As of 03/24/26 7:00:11PM
"BMF","","","","","","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,6446.16,6446.16,5479.23
"BMF","","","","","","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,3,9669.24,9669.24,8218.85
"BMFAFF","","","","","","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,3153.84,3153.84,2680.76
"BMFAFF","","","","","","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,3,4730.76,4730.76,4021.14
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,3600,3600,3060
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,3,5400,5400,4590
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,4400,4400,3740
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,3,6600,6600,5610
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,2341.24,2341.24,1990.05
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,3,3718.44,3718.44,3160.67
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,5393.76,5393.76,4584.69
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,3,8566.56,8566.56,7281.57
"TUDN AFF","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,3200,3200,2720
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,1020,1020,867
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,1020,1020,867
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,1020,1020,867
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,1020,1020,867
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,2555,2555,2171.75
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,2190,2190,1861.50
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,2190,2190,1861.50
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,2555,2555,2171.75
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,540,540,459
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,540,540,459
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,640,640,544
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,640,640,544
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,740,740,629
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,740,740,629
"TUDN","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,500,500,425
"TUDN","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,500,500,425
"TUDN AFF","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,500,500,425
"TUDN AFF","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,500,500,425
"FUTBOL LIGA MEXICANA","","","","","","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,2,5840,5840,4964
"FUTBOL LIGA MEXICANA","","","","","","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 CN 28","C","C","A","Household Items","",2026,3,4380,4380,3723
