Vehicle, Market, Research, Sub-Company, Format, SubTotals, Sales Source, Sales Office, Salesperson, Agency, Advertiser, Product, Order Type, Cash/Trade, AirTime/NTR, Primary Competitive Code, Secondary Competitive Code, Year, Month, Gross Direct, Gross Split, Net Split
As of 03/24/26 6:30:10PM
"BMF","","","","","","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,6446.16,6446.16,5479.24
"BMFAFF","","","","","","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,3153.84,3153.84,2680.76
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,3600,3600,3060
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,4400,4400,3740
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,2341.24,2341.24,1990.05
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Boot Barn","Boot Barn","Boot Barn Voiced","C","C","A","Shoes Retail","",2026,2,5393.76,5393.76,4584.70
"BMF","","","","","","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,2875,2875,2443.75
"BMFAFF","","","","","","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,2875,2875,2443.75
"CESAR LOZANO","","","","","","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,1260,1260,1071
"EL FREEGUEY","","","","","","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,2500,2500,2125
"BMFAFF","","","","","","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,699.96,699.96,594.97
"El FreeGuey AFF","","","","","","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,700.02,700.02,595.02
"LMNRM","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,700.02,700.02,595.01
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,3575,3575,3038.75
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,5420,5420,4607
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,5420,5420,4607
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,500,500,425
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,500,500,425
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,6120,6120,5202
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,6120,6120,5202
"GOLD NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,5940,5940,5049
"PLATINUM NETWORK","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,5940,5940,5049
"TUDN","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,75,75,63.75
"TUDN AFF","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,75,75,63.75
"TUDN","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,112.50,112.50,95.63
"TUDN AFF","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,112.50,112.50,95.62
"TUDN","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,112.50,112.50,95.63
"TUDN AFF","","","","","Sub1","Univision Radio","NewYork","Alan Leinwand","Apex Exchange","Lowes","HM Pro 2510","C","C","A","Home Improvement","",2026,2,112.50,112.50,95.62
"BMFAFF","","","","","","Univision Radio","NewYork","Alan Leinwand","Carat","Procter & Gamble FAM","P54 TB 49","C","C","A","Household Items","",2026,2,2229.44,2229.44,1895.02
