PROPERTY,REP_FIRM,ADVERTISER_NAME,ADVERTISER_GUID,YEAR_NUMBER,MONTH_NUMBER,DEMOGRAPHIC,ORDER_TYPE,CASH_OR_TRADE,AGENCY_NAME,AGENCY_GUID,SALES_OFFICE_NAME,AE_CODE,SALES_PERSON,PARENT_PRODUCT_CODE_NAME,PRODUCT_CODE_NAME,DEV_TYPE,PROGRAM_TYPE,CALENDAR_TYPE,SHARE_OF_ORDER,ORDER_NUMBER,CORE_ADVERTISER_MID,CORE_ADVERTISER_TOP,NET_AMOUNT,GROSS_AMOUNT
9/1/2025 - 3/1/2027,,,,,,,,,,,,,,,,,,,,,,,,
As of 3/23/2026 10:00 PM,,,,,,,,,,,,,,,,,,,,,,,,
KUKC,UNIVISION - AFFILIATE,"Menards, Inc (A)",00000000-0000-0000-0000-000000000000,2025,9,Households,Time Sale - General,C,"Menards, Inc.",e486b648-5ebb-465b-bf39-519464edefce,MM - National CHI,RTLAL,Terrence Lally,Retail,Home Improvements/Hardware,,,BROADCAST,0,25034946,,,663,780
KUKC,UNIVISION - AFFILIATE,"Menards, Inc (A)",00000000-0000-0000-0000-000000000000,2025,9,Households,Time Sale - General,C,"Menards, Inc.",e486b648-5ebb-465b-bf39-519464edefce,MM - National CHI,RTLAL,Terrence Lally,Retail,Home Improvements/Hardware,,,CALENDAR,0,25034946,,,663,780
KCRP,UNIVISION - AFFILIATE,"Jack In The Box, Inc.",628a7f09-6943-4000-a809-5e36cb51c3e8,2025,9,Adults 25-54,Time Sale - General,C,"Carat USA, Inc.",4878365a-5e75-4b14-b1b5-61eedfdcab82,Holding Company - ATL,TEFIN,Elizabeth Fine,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25035016,,,55.25,65
KCRP,UNIVISION - AFFILIATE,"Jack In The Box, Inc.",628a7f09-6943-4000-a809-5e36cb51c3e8,2025,9,Adults 25-54,Time Sale - General,C,"Carat USA, Inc.",4878365a-5e75-4b14-b1b5-61eedfdcab82,Holding Company - ATL,TEFIN,Elizabeth Fine,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25035016,,,55.25,65
KLDO,UNIVISION - AFFILIATE,"Jack In The Box, Inc.",628a7f09-6943-4000-a809-5e36cb51c3e8,2025,9,Adults 25-54,Time Sale - General,C,"Carat USA, Inc.",4878365a-5e75-4b14-b1b5-61eedfdcab82,Holding Company - ATL,TEFIN,Elizabeth Fine,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25035031,,,1332.8,1568
KLDO,UNIVISION - AFFILIATE,"Jack In The Box, Inc.",628a7f09-6943-4000-a809-5e36cb51c3e8,2025,9,Adults 25-54,Time Sale - General,C,"Carat USA, Inc.",4878365a-5e75-4b14-b1b5-61eedfdcab82,Holding Company - ATL,TEFIN,Elizabeth Fine,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25035031,,,1332.8,1568
KVYE,UNIVISION - AFFILIATE,"Jack In The Box, Inc.",628a7f09-6943-4000-a809-5e36cb51c3e8,2025,9,Adults 25-54,Time Sale - General,C,"Carat USA, Inc.",4878365a-5e75-4b14-b1b5-61eedfdcab82,Holding Company - ATL,TJRIN,John Ring,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25035082,,,476.85,561
KVYE,UNIVISION - AFFILIATE,"Jack In The Box, Inc.",628a7f09-6943-4000-a809-5e36cb51c3e8,2025,9,Adults 25-54,Time Sale - General,C,"Carat USA, Inc.",4878365a-5e75-4b14-b1b5-61eedfdcab82,Holding Company - ATL,TJRIN,John Ring,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25035082,,,476.85,561
KUNW,UNIVISION - AFFILIATE,"Jack In The Box, Inc.",628a7f09-6943-4000-a809-5e36cb51c3e8,2025,9,Adults 25-54,Time Sale - General,C,"Carat USA, Inc.",4878365a-5e75-4b14-b1b5-61eedfdcab82,Holding Company - CHI,TMARB,Maria Arboleda,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25035215,,,301.75,355
KUNW,UNIVISION - AFFILIATE,"Jack In The Box, Inc.",628a7f09-6943-4000-a809-5e36cb51c3e8,2025,9,Adults 25-54,Time Sale - General,C,"Carat USA, Inc.",4878365a-5e75-4b14-b1b5-61eedfdcab82,Holding Company - CHI,TMARB,Maria Arboleda,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25035215,,,301.75,355
KELV,UNIVISION - AFFILIATE,Toyota Dealer Association,d0c7c00b-fad9-425a-849f-870ec0b9dd11,2025,11,Adults 35-64,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TKHER,Keith Herbers,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25035627,,,1360,1600
KELV,UNIVISION - AFFILIATE,Toyota Dealer Association,d0c7c00b-fad9-425a-849f-870ec0b9dd11,2025,11,Adults 35-64,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TKHER,Keith Herbers,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25035627,,,1360,1600
KINC,UNIVISION - AFFILIATE,Toyota Dealer Association,d0c7c00b-fad9-425a-849f-870ec0b9dd11,2025,11,Adults 35-64,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TKHER,Keith Herbers,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25035628,,,6290,7400
KINC,UNIVISION - AFFILIATE,Toyota Dealer Association,d0c7c00b-fad9-425a-849f-870ec0b9dd11,2025,11,Adults 35-64,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TKHER,Keith Herbers,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25035628,,,6290,7400
KRNS,UNIVISION - AFFILIATE,Toyota Dealer Association,d0c7c00b-fad9-425a-849f-870ec0b9dd11,2025,9,Adults 35-64,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TMPAT,Michelle Patick - TERMINATED,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25035666,,,527,620
KRNS,UNIVISION - AFFILIATE,Toyota Dealer Association,d0c7c00b-fad9-425a-849f-870ec0b9dd11,2025,9,Adults 35-64,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TMPAT,Michelle Patick - TERMINATED,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25035666,,,527,620
